ensembl_gene_id	external_gene_name	entrezgene_id	chromosome_name	start_position	end_position
ENSG00000237997	RCC2P2		chrY	19986575	19987852
ENSG00000244246	ZNF736P8Y		chrY	7913422	7914090
ENSG00000234950	RBMY2OP		chrY	9951553	9959423
ENSG00000198692	EIF1AY	9086	chrY	20575776	20593154
ENSG00000234583	TSPY19P		chrY	6303957	6305074
ENSG00000183753	BPY2	9083	chrY	22973819	23005465
ENSG00000225433	MTND1P12		chrY	11445418	11445564
ENSG00000227166	STSP1		chrY	15547216	15593331
ENSG00000228379			chrY	9813315	9817513
ENSG00000235857	CTBP2P1		chrY	56855244	56855488
ENSG00000223955	MTND6P1		chrY	8363536	8363959
ENSG00000237195	DLGAP5P1		chrY	6158802	6159265
ENSG00000237447	CDC27P2		chrY	10190377	10192298
ENSG00000185700	TTTY8B	100101118	chrY	6470773	6473630
ENSG00000270455	PABPC1P5		chrY	11335627	11337693
ENSG00000229940	TSPY22P		chrY	22305925	22307951
ENSG00000234385	RCC2P1		chrY	11781052	11782527
ENSG00000226863	SHROOM2P1		chrY	12537773	12544883
ENSG00000212855	TTTY2		chrY	9740584	9758476
ENSG00000237968			chrY	21940012	21941593
ENSG00000233699	TTTY18		chrY	8682594	8700977
ENSG00000286009			chrY	12661309	12663478
ENSG00000271365			chrY	11107065	11107263
ENSG00000259029	DUX4L18		chrY	11321557	11322823
ENSG00000226223	TSPY16P		chrY	9640249	9640716
ENSG00000235895			chrY	6492976	6496757
ENSG00000286201			chrY	16599730	16644539
ENSG00000223744	RBMY2GP		chrY	6328052	6343323
ENSG00000215537	ZNF736P11Y		chrY	22866544	22867756
ENSG00000230476	OFD1P9Y		chrY	22580989	22614081
ENSG00000225840			chrY	10197256	10199103
ENSG00000229745	BPY2DP		chrY	7932997	7937640
ENSG00000227204	RBMY2JP		chrY	8127130	8144203
ENSG00000275828	CHEK2P1		chrY	11412548	11418716
ENSG00000232617			chrY	9665229	9669010
ENSG00000225615	RBMY2UP		chrY	22198429	22203712
ENSG00000230663	FAM224B		chrY	17552800	17579754
ENSG00000232522	ZNF886P		chrY	20001185	20012204
ENSG00000234131	ELOCP8		chrY	22517242	22517573
ENSG00000277519	OFD1P16Y		chrY	21817579	21818218
ENSG00000259247	TTTY25P		chrY	22330452	22332500
ENSG00000224336	FAM197Y1		chrY	9544917	9547147
ENSG00000273731			chrY	8931069	8931454
ENSG00000236951		102725532	chrY	22100814	22147484
ENSG00000215583	ASS1P6		chrY	11922536	11923769
ENSG00000274162	SNX18P1Y		chrY	11178306	11178816
ENSG00000229208	RBMY2NP		chrY	9831418	9846696
ENSG00000129845	TTTY1	50858	chrY	9753156	9774289
ENSG00000227444			chrY	21918935	21921106
ENSG00000233774	MED14P1		chrY	12618983	12634402
ENSG00000232475	HSFY5P		chrY	22048554	22049347
ENSG00000228764	ZNF885P		chrY	20390051	20396796
ENSG00000232226	ARSFP1		chrY	12252321	12258033
ENSG00000224567			chrY	11445708	11446101
ENSG00000241200	ZNF736P7Y		chrY	7990987	7991806
ENSG00000228518	SURF6P1		chrY	17192826	17193652
ENSG00000227447	XGY1		chrY	12440046	12507369
ENSG00000274231			chrY	11144250	11144492
ENSG00000286050			chrY	3786282	3864893
ENSG00000274502	ANKRD20A6P		chrY	11173618	11173821
ENSG00000235094			chrY	6306042	6308202
ENSG00000278854			chrY	7845485	7846454
ENSG00000183385	TTTY8	84673	chrY	9691100	9693957
ENSG00000225809	RBMY2KP		chrY	8264449	8277188
ENSG00000237902	TSPY21P		chrY	22400403	22402568
ENSG00000232419	TTTY19	252952	chrY	8704472	8705283
ENSG00000232620	TSPY17P		chrY	6520463	6520929
ENSG00000226906	TTTY4	114761	chrY	22936455	22973284
ENSG00000230025			chrY	8971751	8974095
ENSG00000236786	TSPY15P		chrY	9548108	9550681
ENSG00000224075	TTTY22	252954	chrY	9784372	9833895
ENSG00000238235	TSPY11P		chrY	6266593	6269275
ENSG00000274445			chrY	9868462	9868702
ENSG00000235649	MXRA5Y		chrY	11957208	11987386
ENSG00000258567	DUX4L16		chrY	11306918	11308181
ENSG00000236424	TSPY10	128966655	chrY	9527880	9530682
ENSG00000236424	TSPY10	128966647	chrY	9527880	9530682
ENSG00000236424	TSPY10	128966599	chrY	9527880	9530682
ENSG00000236424	TSPY10	128966595	chrY	9527880	9530682
ENSG00000236424	TSPY10	124909318	chrY	9527880	9530682
ENSG00000236424	TSPY10	124909306	chrY	9527880	9530682
ENSG00000236424	TSPY10	124909294	chrY	9527880	9530682
ENSG00000236424	TSPY10	124909197	chrY	9527880	9530682
ENSG00000236424	TSPY10	124909093	chrY	9527880	9530682
ENSG00000236424	TSPY10	124908981	chrY	9527880	9530682
ENSG00000236424	TSPY10	124908980	chrY	9527880	9530682
ENSG00000236424	TSPY10	124908979	chrY	9527880	9530682
ENSG00000236424	TSPY10	124908978	chrY	9527880	9530682
ENSG00000236424	TSPY10	124905630	chrY	9527880	9530682
ENSG00000236424	TSPY10	124905629	chrY	9527880	9530682
ENSG00000236424	TSPY10	124905628	chrY	9527880	9530682
ENSG00000236424	TSPY10	124905627	chrY	9527880	9530682
ENSG00000236424	TSPY10	124905626	chrY	9527880	9530682
ENSG00000236424	TSPY10	124905625	chrY	9527880	9530682
ENSG00000236424	TSPY10	124905624	chrY	9527880	9530682
ENSG00000236424	TSPY10	124905621	chrY	9527880	9530682
ENSG00000236424	TSPY10	124905620	chrY	9527880	9530682
ENSG00000236424	TSPY10	124905619	chrY	9527880	9530682
ENSG00000236424	TSPY10	124905618	chrY	9527880	9530682
ENSG00000236424	TSPY10	124905617	chrY	9527880	9530682
ENSG00000236424	TSPY10	124905616	chrY	9527880	9530682
ENSG00000236424	TSPY10	124905615	chrY	9527880	9530682
ENSG00000236424	TSPY10	124905614	chrY	9527880	9530682
ENSG00000236424	TSPY10	100289087	chrY	9527880	9530682
ENSG00000236424	TSPY10	728137	chrY	9527880	9530682
ENSG00000234179	MTCYBP1		chrY	8364032	8365150
ENSG00000271309			chrY	11107389	11107596
ENSG00000229553	USP9YP17		chrY	22049755	22058113
ENSG00000228240	TTTY17A	474152	chrY	22851584	22852715
ENSG00000228240	TTTY17A	252949	chrY	22851584	22852715
ENSG00000234652	AGPAT5P1		chrY	3293808	3294826
ENSG00000218410			chrY	3851224	3852869
ENSG00000243643	TSPY20P		chrY	10036195	10038375
ENSG00000224989	FAM41AY1		chrY	17500958	17515018
ENSG00000131548	TTTY6B	441543	chrY	22144966	22146831
ENSG00000232029	ELOCP15		chrY	22068820	22069151
ENSG00000273858			chrY	11042722	11042943
ENSG00000227830	TRIM60P3Y		chrY	8413037	8414054
ENSG00000226529	MTND1P1		chrY	8371663	8372030
ENSG00000229643	LINC00280	128966592	chrY	6357219	6369921
ENSG00000229643	LINC00280	100873964	chrY	6357219	6369921
ENSG00000274837			chrY	19932130	19932500
ENSG00000216777	PRRC2CP1		chrY	3549652	3549810
ENSG00000216824	ZNF736P10Y		chrY	8418791	8419900
ENSG00000275352			chrY	6273579	6274065
ENSG00000276829			chrY	22861112	22861834
ENSG00000258992	TSPY1	128966656	chrY	9466955	9469749
ENSG00000258992	TSPY1	128966655	chrY	9466955	9469749
ENSG00000258992	TSPY1	128966647	chrY	9466955	9469749
ENSG00000258992	TSPY1	128966599	chrY	9466955	9469749
ENSG00000258992	TSPY1	128966595	chrY	9466955	9469749
ENSG00000258992	TSPY1	124909330	chrY	9466955	9469749
ENSG00000258992	TSPY1	124909320	chrY	9466955	9469749
ENSG00000258992	TSPY1	124909318	chrY	9466955	9469749
ENSG00000258992	TSPY1	124909306	chrY	9466955	9469749
ENSG00000258992	TSPY1	124909294	chrY	9466955	9469749
ENSG00000258992	TSPY1	124909084	chrY	9466955	9469749
ENSG00000258992	TSPY1	124909015	chrY	9466955	9469749
ENSG00000258992	TSPY1	124908988	chrY	9466955	9469749
ENSG00000258992	TSPY1	124908981	chrY	9466955	9469749
ENSG00000258992	TSPY1	124908980	chrY	9466955	9469749
ENSG00000258992	TSPY1	124908979	chrY	9466955	9469749
ENSG00000258992	TSPY1	124908978	chrY	9466955	9469749
ENSG00000258992	TSPY1	124905629	chrY	9466955	9469749
ENSG00000258992	TSPY1	124905628	chrY	9466955	9469749
ENSG00000258992	TSPY1	124905627	chrY	9466955	9469749
ENSG00000258992	TSPY1	124905626	chrY	9466955	9469749
ENSG00000258992	TSPY1	124905625	chrY	9466955	9469749
ENSG00000258992	TSPY1	124905624	chrY	9466955	9469749
ENSG00000258992	TSPY1	124905623	chrY	9466955	9469749
ENSG00000258992	TSPY1	124905621	chrY	9466955	9469749
ENSG00000258992	TSPY1	124905620	chrY	9466955	9469749
ENSG00000258992	TSPY1	124905619	chrY	9466955	9469749
ENSG00000258992	TSPY1	124905618	chrY	9466955	9469749
ENSG00000258992	TSPY1	124905617	chrY	9466955	9469749
ENSG00000258992	TSPY1	124905616	chrY	9466955	9469749
ENSG00000258992	TSPY1	124905615	chrY	9466955	9469749
ENSG00000258992	TSPY1	124905614	chrY	9466955	9469749
ENSG00000258992	TSPY1	728403	chrY	9466955	9469749
ENSG00000258992	TSPY1	728137	chrY	9466955	9469749
ENSG00000258992	TSPY1	64591	chrY	9466955	9469749
ENSG00000258992	TSPY1	7258	chrY	9466955	9469749
ENSG00000228850	CDY12P		chrY	22064698	22065712
ENSG00000283076			chrY	17514502	17516715
ENSG00000234850	MTND2P3		chrY	8372241	8372710
ENSG00000224873	CDY13P		chrY	22520681	22521695
ENSG00000229234	RBMY1KP		chrY	22209331	22216580
ENSG00000270570			chrY	11107719	11107887
ENSG00000237563	TTTY21B	100101115	chrY	6443434	6450685
ENSG00000223517			chrY	14276212	14277489
ENSG00000228207			chrY	8901203	8903276
ENSG00000224917			chrY	22670616	22672859
ENSG00000286187			chrY	21825441	21846721
ENSG00000225117	ARSDP1		chrY	12354096	12387328
ENSG00000215560	TTTY5	83863	chrY	22296798	22298876
ENSG00000228411	CDY4P		chrY	12801973	12803830
ENSG00000235059		102725532	chrY	22438940	22485592
ENSG00000235059		101929148	chrY	22438940	22485592
ENSG00000244395	RBMY1D	378949	chrY	21880076	21894526
ENSG00000230727	RBMY2WP		chrY	22762851	22769787
ENSG00000230814	USP9YP24		chrY	22528281	22536639
ENSG00000229725			chrY	21871331	21873550
ENSG00000229236	TTTY10	246119	chrY	20464916	20575519
ENSG00000229518	UBE2V1P3		chrY	3866306	3866722
ENSG00000232730	FAM8A4P		chrY	12321623	12322835
ENSG00000229308			chrY	4036497	4100320
ENSG00000244000			chrY	23017063	23017821
ENSG00000232764	TRIM60P8Y		chrY	23025594	23026663
ENSG00000236131	MED13P1		chrY	14907898	14908068
ENSG00000270073	TSPY6P		chrY	9507596	9510175
ENSG00000227949	CYCSP46		chrY	14941547	14941750
ENSG00000252900	RNU6-303P		chrY	4174985	4175090
ENSG00000251766	RNA5SP518		chrY	10090410	10090528
ENSG00000252689		124900508	chrY	16138248	16138379
ENSG00000243980	RN7SL702P		chrY	12273473	12273764
ENSG00000252315	RNA5SP520		chrY	17557864	17557976
ENSG00000252012	RNA5SP521		chrY	17559774	17559889
ENSG00000273966			chrY	17568962	17569051
ENSG00000252173	RNU6-109P		chrY	16248935	16249041
ENSG00000251705	RNA5-8SP6	124907582	chrY	10200155	10200306
ENSG00000252289	RNA5SP519		chrY	10092875	10092993
ENSG00000252323	RNU6-184P		chrY	16336283	16336389
ENSG00000169953	HSFY2	159119	chrY	18731440	18773735
ENSG00000236429	GPM6BP2		chrY	18741843	18741986
ENSG00000249501	USP9YP2		chrY	18776279	18779427
ENSG00000228193	ELOCP14		chrY	18787750	18788080
ENSG00000248573	PRYP6		chrY	18790709	18791051
ENSG00000230904	XKRYP2		chrY	18811338	18811829
ENSG00000238135	USP9YP10		chrY	18826107	18829487
ENSG00000224151	USP9YP28		chrY	18833002	18839313
ENSG00000251970	RNU1-41P	124905307	chrY	18833729	18833890
ENSG00000238088	OFD1P7Y		chrY	18848264	18867280
ENSG00000217179	MTCYBP2		chrY	18872102	18872272
ENSG00000217896	ZNF839P1		chrY	18985175	18986398
ENSG00000185275	CD24P4		chrY	18992467	18992709
ENSG00000252766	RNU6-255P		chrY	19018983	19019087
ENSG00000274282			chrY	19253960	19260875
ENSG00000234529	GAPDHP19		chrY	19327569	19328573
ENSG00000238191	CLUHP1		chrY	17621259	17625832
ENSG00000226353	TAF9P1		chrY	17628513	17629402
ENSG00000275578			chrY	17705968	17708185
ENSG00000226449	CDY5P		chrY	17721598	17723177
ENSG00000225896	ELOCP36		chrY	17726752	17727080
ENSG00000224166	PRYP1		chrY	17729528	17744596
ENSG00000229129	ACTG1P2		chrY	17757001	17758125
ENSG00000223555	USP9YP23		chrY	17782210	17784815
ENSG00000235521	USP9YP27		chrY	17788315	17789484
ENSG00000252513	RNU1-128P		chrY	17789003	17789162
ENSG00000224964	TRAPPC2P3		chrY	17797983	17800696
ENSG00000226011	OFD1P1Y		chrY	17809807	17825329
ENSG00000225740	ELOCP6		chrY	17837201	17837528
ENSG00000229138	CDY6P		chrY	17882099	17883708
ENSG00000224485	USP9YP7		chrY	17908755	17910806
ENSG00000226116	USP9YP6		chrY	17912699	17921630
ENSG00000237558	CDY7P		chrY	17951589	17953500
ENSG00000233378	USP9YP34		chrY	17984349	17993260
ENSG00000237616	USP9YP32		chrY	17995201	17997252
ENSG00000224033	CDY8P		chrY	18022299	18023908
ENSG00000230412	ELOCP12		chrY	18068483	18068810
ENSG00000225895	TRAPPC2P8		chrY	18105314	18108102
ENSG00000233120	USP9YP15		chrY	18116527	18117695
ENSG00000252166	RNU1-95P		chrY	18116848	18117007
ENSG00000232744	USP9YP16		chrY	18121195	18123799
ENSG00000229465	ACTG1P11		chrY	18147884	18149008
ENSG00000231311	PRYP2		chrY	18161366	18176484
ENSG00000236599	ELOCP26		chrY	18178932	18179260
ENSG00000232899	CDY9P		chrY	18182835	18184414
ENSG00000229302	TAF9P2		chrY	18276607	18277495
ENSG00000228945	CLUHP2		chrY	18280178	18284761
ENSG00000233522	FAM224A		chrY	18326253	18353210
ENSG00000278391			chrY	18336960	18337049
ENSG00000251953	RNA5SP522		chrY	18346123	18346238
ENSG00000252667	RNA5SP523		chrY	18348035	18348147
ENSG00000249726	TUBB1P1		chrY	18386974	18389151
ENSG00000225716	ELOCP13		chrY	18440797	18441125
ENSG00000229406	OFD1P4Y		chrY	18453150	18472137
ENSG00000227494	USP9YP14		chrY	18481087	18487400
ENSG00000252209	RNU1-48P	124905307	chrY	18486511	18486672
ENSG00000249634	USP9YP5		chrY	18490915	18494295
ENSG00000251510			chrY	18491740	18547698
ENSG00000238067	XKRYP1		chrY	18508577	18509068
ENSG00000233546	PRYP5		chrY	18529358	18529623
ENSG00000230377	ELOCP7		chrY	18532326	18532656
ENSG00000250951	USP9YP1		chrY	18540980	18544128
ENSG00000230458	GPM6BP1		chrY	18578417	18578560
ENSG00000131007	TTTY9B	425057	chrY	18581206	18590521
ENSG00000235479	RAB9AP4		chrY	18649671	18650279
ENSG00000249606	TRAPPC2P7		chrY	18655520	18656190
ENSG00000176728	TTTY14	83869	chrY	18772706	19077416
ENSG00000267793			chrY	19598188	19598757
ENSG00000260197			chrY	19691941	19694606
ENSG00000288049		105377224	chrY	19744756	19759978
ENSG00000012817	KDM5D	8284	chrY	19703865	19744939
ENSG00000172468	HSFY1	159119	chrY	18546691	18588963
ENSG00000172468	HSFY1	86614	chrY	18546691	18588963
ENSG00000176679	TGIF2LY	90655	chrY	3579067	3580041
ENSG00000169800	RBMY1F	378951	chrY	22168542	22182982
ENSG00000169800	RBMY1F	159163	chrY	22168542	22182982
ENSG00000182415	CDY2A	9426	chrY	18025787	18027746
ENSG00000233126	ZNF736P3Y		chrY	23049247	23051195
ENSG00000227251	TRIM60P9Y		chrY	23058030	23059186
ENSG00000252633	RN7SKP282		chrY	7324297	7324595
ENSG00000251996	Y_RNA		chrY	7341531	7341642
ENSG00000252155	RNU6-941P		chrY	7378672	7378779
ENSG00000252472	RNU6-521P		chrY	7423054	7423158
ENSG00000224953	SRIP3		chrY	6718962	6719180
ENSG00000274365			chrY	6789153	6789344
ENSG00000233634	GOT2P5		chrY	6837707	6838252
ENSG00000237701	ATP5PFP1		chrY	6900753	6901372
ENSG00000273906			chrY	6918682	6920791
ENSG00000232976	TRIM60P10Y		chrY	24659337	24660406
ENSG00000226270	ZNF736P2Y		chrY	24683657	24684935
ENSG00000227837	TRIM60P11Y		chrY	24691791	24692932
ENSG00000278602			chrY	24977176	24978317
ENSG00000223978	ZNF736P1Y		chrY	24985201	24986476
ENSG00000278197			chrY	25009700	25010769
ENSG00000230819	ZNF736P5Y		chrY	25018499	25019303
ENSG00000185894	BPY2C	442868	chrY	25030901	25062548
ENSG00000228296	TTTY4C	474150	chrY	25063083	25099892
ENSG00000205916	DAZ4	57135	chrY	24833843	24907040
ENSG00000129873	CDY2B	203611	chrY	17878260	17880220
ENSG00000251841	RNU6-1334P		chrY	2784749	2784853
ENSG00000184895	SRY	6736	chrY	2786855	2787682
ENSG00000237659	RNASEH2CP1		chrY	2789827	2790328
ENSG00000232195	TOMM22P2		chrY	2827982	2828218
ENSG00000286130			chrY	2828192	2840851
ENSG00000129824	RPS4Y1	6192	chrY	2841602	2932000
ENSG00000229163	NAP1L1P2		chrY	2929001	2931120
ENSG00000278847			chrY	2934406	2934771
ENSG00000067646	ZFY	7544	chrY	2935281	2982506
ENSG00000233070	ZFY-AS1	107987337	chrY	2966844	3002626
ENSG00000223600	EEF1A1P41		chrY	2995067	2995273
ENSG00000215414	PSMA6P1		chrY	13286638	13287378
ENSG00000224035	SFPQP1		chrY	13083790	13095805
ENSG00000223915	DPPA2P1		chrY	13230884	13231439
ENSG00000067048	DDX3Y	8653	chrY	12904108	12920478
ENSG00000234059	CASKP1		chrY	12930165	12948182
ENSG00000183878	UTY	7404	chrY	13234577	13480673
ENSG00000154620	TMSB4Y	9087	chrY	13703899	13706024
ENSG00000129864	VCY	9084	chrY	13985772	13986473
ENSG00000187191	DAZ3	57054	chrY	24763069	24813492
ENSG00000188120	DAZ1	1617	chrY	23129355	23199010
ENSG00000205936	PPP1R12BP2		chrY	23379484	23392697
ENSG00000251925	SNORA70	124900507	chrY	23423099	23423236
ENSG00000251925	SNORA70	124900506	chrY	23423099	23423236
ENSG00000286744			chrY	23435905	23436006
ENSG00000225189	REREP1Y		chrY	23462465	23472280
ENSG00000230073			chrY	23523321	23525369
ENSG00000236647			chrY	23549809	23551385
ENSG00000099721	AMELY	266	chrY	6865918	6911752
ENSG00000092377	TBL1Y	90665	chrY	6910686	7101970
ENSG00000232583	GPR143YP		chrY	7100733	7106502
ENSG00000205944	DAZ2	57055	chrY	23219447	23291356
ENSG00000168757	TSPY2	64591	chrY	6246223	6249019
ENSG00000226555	AGKP1		chrY	14639096	14640358
ENSG00000228787	NLGN4Y-AS1	100874056	chrY	14793642	14804033
ENSG00000242389	RBMY1E	378950	chrY	21903618	21918042
ENSG00000165246	NLGN4Y	22829	chrY	14522573	14845654
ENSG00000231535	LINC00278	100873962	chrY	3002887	3200509
ENSG00000229343	CDY22P		chrY	25813013	25814566
ENSG00000232695	ELOCP17		chrY	25860943	25861268
ENSG00000235511	OFD1P18Y		chrY	25871931	25898653
ENSG00000232914	TRAPPC2P4		chrY	25904518	25907250
ENSG00000223655	RAB9AP3		chrY	25918323	25918895
ENSG00000230854	USP9YP20		chrY	25923388	25929826
ENSG00000252625	RNU1-40P		chrY	25928979	25929142
ENSG00000227635	USP9YP21		chrY	25933833	25935881
ENSG00000237546	XKRYP6		chrY	25943268	25954152
ENSG00000172283	PRYP4		chrY	25975549	25988069
ENSG00000227867	ELOCP11		chrY	25991241	25991572
ENSG00000231716	CDY23P		chrY	25994684	25995697
ENSG00000234744	USP9YP26		chrY	26002254	26008856
ENSG00000233156	HSFY8P		chrY	26011435	26012237
ENSG00000234888	OFD1P15Y		chrY	26055779	26088493
ENSG00000235014	REREP2Y		chrY	26198331	26208148
ENSG00000289705			chrY	26234610	26234711
ENSG00000225876			chrY	26244351	26244573
ENSG00000251796	SNORA70	124900507	chrY	26247384	26247521
ENSG00000251796	SNORA70	124900506	chrY	26247384	26247521
ENSG00000229238	PPP1R12BP1		chrY	26277923	26354418
ENSG00000252948	RNU6-1314P		chrY	26360989	26361092
ENSG00000233843	CYCSP48		chrY	26400611	26401230
ENSG00000188399	ANKRD36P1		chrY	26409815	26420535
ENSG00000277146			chrY	26453982	26454092
ENSG00000129862	VCY1B	353513	chrY	14056227	14056958
ENSG00000235451	PNPLA4P1		chrY	14081075	14086600
ENSG00000289706			chrY	14101588	14101723
ENSG00000226611	OFD1P2Y		chrY	18080681	18096202
ENSG00000240438	OFD1P5Y		chrY	18582063	18629077
ENSG00000286247			chrY	20725331	20734526
ENSG00000225624	TBL1YP1		chrY	20727254	20742900
ENSG00000280969	RPS4Y2	140032	chrY	20756108	20781032
ENSG00000224482	HSFY4P		chrY	20808776	20811809
ENSG00000216844			chrY	20843256	20843710
ENSG00000229551	GAPDHP17		chrY	20861337	20862337
ENSG00000226504	TMEM167AP1		chrY	20907344	20907562
ENSG00000254488			chrY	21038289	21044724
ENSG00000237427	TOMM22P1		chrY	21130870	21131181
ENSG00000289707			chrY	21138633	21257832
ENSG00000232634	NEFLP1		chrY	21221106	21222089
ENSG00000226918			chrY	21311268	21318895
ENSG00000183146	PRORY		chrY	21382954	21386360
ENSG00000236615			chrY	21405770	21405995
ENSG00000288057			chrY	21424028	21456216
ENSG00000237269	RBMY2TP		chrY	21430697	21437245
ENSG00000169849	TSPY14P		chrY	21468158	21470683
ENSG00000169811	RBMY1HP		chrY	21493519	21501968
ENSG00000242393			chrY	21508299	21510470
ENSG00000228257			chrY	21531839	21534011
ENSG00000184991	TTTY13	83868	chrY	21565092	21605081
ENSG00000271123	ELOCP5		chrY	21631683	21632015
ENSG00000226042	CDY10P		chrY	21637475	21639041
ENSG00000237023	USP9YP3		chrY	21661926	21674008
ENSG00000229416	USP9YP8		chrY	21677246	21681118
ENSG00000230029	CDY11P		chrY	21696570	21698220
ENSG00000224169	HSFY6P		chrY	23657839	23659058
ENSG00000223407	USP9YP18		chrY	23659466	23667822
ENSG00000226873	CDY14P		chrY	23674379	23675392
ENSG00000227915	ELOCP16		chrY	23678504	23678835
ENSG00000236620	XKRYP3		chrY	23715922	23726808
ENSG00000224866	USP9YP25		chrY	23734193	23736249
ENSG00000232424	USP9YP29		chrY	23740258	23746693
ENSG00000252681	RNU1-97P		chrY	23740942	23741105
ENSG00000232910	RAB9AP1		chrY	23751188	23751760
ENSG00000232845	TRAPPC2P9		chrY	23762838	23765583
ENSG00000237302	OFD1P11Y		chrY	23771232	23798150
ENSG00000169763	PRYP3		chrY	23682007	23694527
ENSG00000277930			chrY	4993858	4999650
ENSG00000252468	RNU2-57P		chrY	5019076	5019266
ENSG00000231341	VDAC1P6		chrY	5207215	5208069
ENSG00000235001	EIF4A1P2		chrY	5337745	5338964
ENSG00000214207	KRT18P10		chrY	5573145	5574431
ENSG00000278585	SNX3P1Y		chrY	5634480	5634655
ENSG00000235175	RPL26P37		chrY	5793300	5793737
ENSG00000099715	PCDH11Y	83259	chrY	5000226	5742224
ENSG00000099715	PCDH11Y	27328	chrY	5000226	5742224
ENSG00000225466	OFD1P10Y		chrY	23581595	23614640
ENSG00000231540	ELOCP9		chrY	23808821	23809059
ENSG00000223362	CDY15P		chrY	23855522	23857091
ENSG00000231026	XKRYP4		chrY	23917241	23917723
ENSG00000224571	USP9YP13		chrY	23919905	23921510
ENSG00000226369	USP9YP11		chrY	23934953	23940101
ENSG00000280961	TTTY3B	474148	chrY	23936727	23941622
ENSG00000227871	USP9YP12		chrY	23945927	23952293
ENSG00000251917	RNU1-86P		chrY	23946618	23946771
ENSG00000231423	RAB9AP5		chrY	23956569	23960218
ENSG00000228465	TRAPPC2P10		chrY	23967564	23970694
ENSG00000232585	OFD1P12Y		chrY	23972780	23995081
ENSG00000234081	ELOCP10		chrY	24006911	24007237
ENSG00000172352	CDY1B	253175	chrY	24045229	24048019
ENSG00000231375	CDY17P		chrY	24049878	24051487
ENSG00000237467	USP9YP35		chrY	24077799	24079812
ENSG00000229250	USP9YP31		chrY	24081704	24090346
ENSG00000232205	CDY18P		chrY	24104107	24106018
ENSG00000235981			chrY	24142358	24157843
ENSG00000223698	GOLGA6L11P		chrY	24168187	24174494
ENSG00000242854	DNM1P24		chrY	24179316	24183505
ENSG00000230977			chrY	24182477	24183071
ENSG00000244231	CSPG4P2Y		chrY	24183434	24187231
ENSG00000172342	CSPG4P3Y		chrY	24186509	24191870
ENSG00000284071			chrY	24196518	24206132
ENSG00000274234	RN7SL818P		chrY	24210958	24211216
